start_time,end_time,num_points
1214.5,1215.4,10
1215.5,1215.9,5
1216.0,1218.9,30
1219.0,1219.9,10
1220.0,1222.4,25
1222.5,1222.9,5
1223.0,1223.4,5
1223.5,1224.4,10
1224.5,1226.9,25
1227.0,1227.9,10
1228.0,1228.9,10
1229.0,1229.4,5
1229.5,1230.4,10
1230.5,1230.9,5
1231.0,1231.4,5
1231.5,1231.9,5
1232.0,1234.4,25
1234.5,1235.9,15
1236.0,1236.4,5
1236.5,1237.4,10
1237.5,1238.4,10
1238.5,1238.9,5
1239.0,1239.9,10
1240.0,1240.9,10
1241.0,1241.4,5
1241.5,1242.4,10
1242.5,1242.9,5
1243.0,1248.4,55
1248.5,1249.4,10
1249.5,1250.4,10
1250.5,1251.4,10
1251.5,1255.9,45
1256.0,1256.4,5
1256.5,1257.4,10
1257.5,1258.4,10
1258.5,1258.9,5
1259.0,1259.9,10
1260.0,1262.4,25
1262.5,1263.9,15
1264.0,1266.4,25
1266.5,1267.4,10
1267.5,1270.4,30
1270.5,1271.4,10
1271.5,1273.4,20
1273.5,1274.4,10
1274.5,1275.4,10
1275.5,1277.9,25
1278.0,1279.4,15
1279.5,1280.4,10
1280.5,1281.9,15
1282.0,1284.9,30
1285.0,1286.4,15
1286.5,1287.4,10
1287.5,1287.9,5
1288.0,1290.9,30
1291.0,1291.9,10
1292.0,1292.9,10
1293.0,1294.4,15
1294.5,1295.9,15
1296.0,1297.4,15
1297.5,1298.4,10
1298.5,1299.4,10
1299.5,1300.9,15
1301.0,1301.9,10
1302.0,1302.9,10
1303.0,1303.4,5
1303.5,1304.4,10
1304.5,1306.4,20
1306.5,1306.9,5
1307.0,1307.4,5
1307.5,1309.4,20
1309.5,1310.4,10
1310.5,1313.4,30
1313.5,1313.9,5
1314.0,1314.9,10
1315.0,1315.4,5
1315.5,1316.4,10
1316.5,1316.9,5
1317.0,1317.4,5
1317.5,1318.9,15
1319.0,1319.4,5
1319.5,1319.9,5
1320.0,1320.9,10
1321.0,1321.9,10
1322.0,1322.4,5
1322.5,1323.4,10
1323.5,1323.9,5
1324.0,1324.4,5
1324.5,1324.9,5
1325.0,1325.9,10
1326.0,1326.4,5
1326.5,1327.4,10
1327.5,1328.4,10
1328.5,1328.9,5
1329.0,1329.4,5
1329.5,1330.9,15
1331.0,1331.9,10
1332.0,1335.4,35
1335.5,1335.9,5
1336.0,1337.4,15
1337.5,1338.4,10
1338.5,1340.9,25
1341.0,1341.9,10
1342.0,1346.4,45
1346.5,1347.9,15
1348.0,1348.9,10
1349.0,1349.4,5
1349.5,1351.4,20
1351.5,1351.9,5
1352.0,1352.9,10
1353.0,1353.4,5
1353.5,1354.9,15
1355.0,1355.4,5
1355.5,1360.4,50
1360.5,1361.9,15
1362.0,1365.9,40
1366.0,1366.9,10
1367.0,1369.4,25
1369.5,1369.9,5
1370.0,1370.4,5
1370.5,1372.4,20
1372.5,1372.9,5
1373.0,1374.4,15
1374.5,1375.4,10
1375.5,1376.9,15
1377.0,1378.9,20
1379.0,1379.4,5
1379.5,1379.9,5
1380.0,1382.4,25
1382.5,1383.9,15
1384.0,1393.4,95
1393.5,1394.9,15
1395.0,1395.4,5
1395.5,1395.9,5
1396.0,1397.9,20
1398.0,1398.4,5
1398.5,1399.4,10
1399.5,1403.4,40
1403.5,1404.9,15
1405.0,1410.4,55
1410.5,1411.9,15
1412.0,1414.4,25
1414.5,1415.4,10
1415.5,1416.4,10
1416.5,1417.4,10
1417.5,1418.9,15
1419.0,1419.4,5
1419.5,1419.9,5
1420.0,1420.9,10
1421.0,1421.4,5
1421.5,1428.9,75
1429.0,1429.9,10
1430.0,1430.9,10
1431.0,1433.9,30
1434.0,1434.9,10
1435.0,1435.9,10
1436.0,1436.4,5
1436.5,1438.9,25
1439.0,1439.9,10
1440.0,1440.4,5
1440.5,1441.4,10
1441.5,1443.9,25
1444.0,1444.4,5
1444.5,1445.4,10
1445.5,1445.9,5
1446.0,1447.4,15
1447.5,1447.9,5
1448.0,1449.4,15
1449.5,1450.9,15
1451.0,1451.4,5
1451.5,1451.9,5
1452.0,1452.4,5
1452.5,1453.4,10
1453.5,1454.9,15
1455.0,1455.4,5
1455.5,1456.4,10
1456.5,1457.4,10
1457.5,1458.4,10
1458.5,1468.4,100
1468.5,1468.9,5
1469.0,1471.4,25
1471.5,1472.9,15
1473.0,1473.9,10
1474.0,1474.4,5
1474.5,1475.9,15
1476.0,1477.9,20
1478.0,1479.4,15
1479.5,1480.4,10
1480.5,1480.9,5
1481.0,1482.4,15
1482.5,1483.4,10
1483.5,1484.9,15
1485.0,1485.4,5
1485.5,1486.9,15
1487.0,1491.9,50
1492.0,1492.4,5
1492.5,1492.9,5
1493.0,1493.9,10
1494.0,1497.4,35
1497.5,1500.4,30
1500.5,1500.9,5
1501.0,1501.4,5
1501.5,1502.4,10
1502.5,1504.9,25
1505.0,1509.9,50
1510.0,1510.4,5
1510.5,1511.4,10
1511.5,1512.9,15
1513.0,1514.9,20
1515.0,1515.4,5
1515.5,1516.4,10
1516.5,1516.9,5
1517.0,1520.9,40
1521.0,1522.4,15
1522.5,1524.4,20
1524.5,1525.4,10
1525.5,1525.9,5
1526.0,1526.9,10
1527.0,1528.4,15
1528.5,1528.9,5
1529.0,1529.9,10
1530.0,1530.9,10
1531.0,1531.9,10
1532.0,1532.4,5
1532.5,1536.4,40
1536.5,1537.9,15
1538.0,1538.4,5
1538.5,1539.9,15
1540.0,1541.9,20
1542.0,1543.4,15
1543.5,1544.4,10
1544.5,1545.4,10
1545.5,1547.4,20
1547.5,1548.9,15
1549.0,1549.9,10
1550.0,1550.4,5
1550.5,1551.4,10
1551.5,1551.9,5
1552.0,1552.9,10
1553.0,1553.4,5
1553.5,1557.4,40
1557.5,1558.4,10
1558.5,1559.4,10
1559.5,1560.4,10
1560.5,1561.9,15
1562.0,1562.4,5
1562.5,1563.4,10
1563.5,1564.9,15
1565.0,1566.9,20
1567.0,1568.4,15
1568.5,1568.9,5
1569.0,1570.4,15
1570.5,1570.9,5
1571.0,1571.4,5
1571.5,1572.9,15
1573.0,1575.9,30
1576.0,1576.9,10
1577.0,1577.9,10
1578.0,1578.9,10
1579.0,1579.4,5
1579.5,1580.4,10
1580.5,1581.9,15
1582.0,1582.4,5
1582.5,1583.4,10
1583.5,1583.9,5
1584.0,1584.9,10
1585.0,1585.9,10
1586.0,1588.4,25
1588.5,1588.9,5
1589.0,1589.4,5
1589.5,1589.9,5
1590.0,1593.4,35
1593.5,1593.9,5
1594.0,1594.4,5
1594.5,1595.4,10
1595.5,1597.9,25
1598.0,1598.4,5
1598.5,1599.4,10
1599.5,1600.9,15
1601.0,1601.4,5
1601.5,1602.9,15
1603.0,1603.9,10
1604.0,1604.9,10
1605.0,1609.4,45
1609.5,1609.9,5
1610.0,1610.9,10
1611.0,1611.9,10
1612.0,1612.9,10
1613.0,1613.4,5
1613.5,1617.4,40
1617.5,1618.9,15
1619.0,1623.4,45
1623.5,1624.4,10
1624.5,1624.9,5
1625.0,1625.4,5
1625.5,1625.9,5
1626.0,1626.9,10
1627.0,1628.4,15
1628.5,1628.9,5
1629.0,1629.4,5
1629.5,1630.4,10
1630.5,1631.9,15
1632.0,1635.9,40
1636.0,1636.4,5
1636.5,1636.9,5
1637.0,1639.9,30
1640.0,1640.9,10
1641.0,1642.4,15
1642.5,1643.4,10
1643.5,1644.4,10
1644.5,1645.4,10
1645.5,1647.4,20
1647.5,1652.4,50
1652.5,1652.9,5
1653.0,1656.4,35
1656.5,1661.4,50
1661.5,1661.9,5
1662.0,1662.9,10
1663.0,1663.4,5
1663.5,1663.9,5
1664.0,1664.4,5
1664.5,1665.4,10
1665.5,1665.9,5
1666.0,1666.9,10
1667.0,1667.9,10
1668.0,1668.4,5
1668.5,1668.9,5
1669.0,1672.9,40
1673.0,1673.9,10
1674.0,1675.4,15
1675.5,1676.4,10
1676.5,1676.9,5
1677.0,1677.9,10
1678.0,1680.4,25
1680.5,1688.4,80
1688.5,1689.4,10
1689.5,1692.4,30
1692.5,1693.4,10
1693.5,1696.9,35
1697.0,1697.9,10
1698.0,1699.4,15
1699.5,1701.4,20
1701.5,1702.9,15
1703.0,1703.4,5
1703.5,1704.4,10
1704.5,1709.9,55
1710.0,1710.4,5
1710.5,1710.9,5
1711.0,1711.4,5
1711.5,1713.9,25
1714.0,1714.9,10
1715.0,1718.4,35
1718.5,1719.9,15
1720.0,1722.4,25
1722.5,1723.4,10
1723.5,1724.9,15
1725.0,1725.9,10
1726.0,1726.4,5
1726.5,1728.9,25
1729.0,1729.4,5
1729.5,1730.4,10
1730.5,1735.9,55
1736.0,1736.4,5
1736.5,1737.9,15
1738.0,1738.9,10
1739.0,1741.4,25
1741.5,1742.4,10
1742.5,1743.9,15
1744.0,1744.9,10
1745.0,1745.9,10
1746.0,1746.4,5
1746.5,1746.9,5
1747.0,1747.4,5
1747.5,1747.9,5
1748.0,1749.4,15
1749.5,1763.4,140
1763.5,1764.4,10
1764.5,1766.4,20
1766.5,1766.9,5
1767.0,1767.9,10
1768.0,1768.9,10
1769.0,1769.4,5
1769.5,1769.9,5
1770.0,1770.4,5
1770.5,1771.4,10
1771.5,1772.9,15
1773.0,1773.9,10
1774.0,1774.4,5
1774.5,1775.4,10
1775.5,1775.9,5
1776.0,1777.4,15
1777.5,1777.9,5
1778.0,1779.4,15
1779.5,1780.9,15
1781.0,1784.4,35
1784.5,1784.9,5
1785.0,1787.4,25
1787.5,1787.9,5
1788.0,1788.9,10
1789.0,1789.4,5
1789.5,1790.4,10
1790.5,1791.9,15
1792.0,1793.4,15
1793.5,1794.4,10
1794.5,1795.4,10
1795.5,1796.4,10
1796.5,1798.4,20
1798.5,1799.9,15
1800.0,1800.4,5
1800.5,1800.9,5
1801.0,1801.9,10
1802.0,1802.4,5
1802.5,1807.9,55
1808.0,1808.9,10
1809.0,1809.4,5
1809.5,1810.9,15
1811.0,1811.9,10
1812.0,1812.9,10
1813.0,1815.4,25
1815.5,1816.9,15
1817.0,1817.9,10
1818.0,1818.4,5
1818.5,1819.4,10
